,Identifiant arc,Libelle,Date et heure de comptage,Débit horaire,Taux d'occupation,Etat trafic,Identifiant noeud amont,Libelle noeud amont,Identifiant noeud aval,Libelle noeud aval,Etat arc,Date debut dispo data,Date fin dispo data,geo_point_2d,geo_shape
6119613,4264,AV_Champs_Elysees,2022-11-02T16:00:00+01:00,1105.0,20.965,Pré-saturé,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
6119587,4264,AV_Champs_Elysees,2022-11-02T17:00:00+01:00,1152.0,23.58834,Pré-saturé,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
6119561,4264,AV_Champs_Elysees,2022-11-02T18:00:00+01:00,1107.0,22.56556,Pré-saturé,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
1497228,4264,AV_Champs_Elysees,2022-11-02T19:00:00+01:00,1271.0,23.65889,Pré-saturé,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
6119535,4264,AV_Champs_Elysees,2022-11-02T20:00:00+01:00,1272.0,20.06222,Pré-saturé,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
6119509,4264,AV_Champs_Elysees,2022-11-02T21:00:00+01:00,1087.0,16.42111,Pré-saturé,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
6119483,4264,AV_Champs_Elysees,2022-11-02T22:00:00+01:00,832.0,14.96111,Fluide,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
6119457,4264,AV_Champs_Elysees,2022-11-02T23:00:00+01:00,771.0,12.56611,Fluide,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
6119431,4264,AV_Champs_Elysees,2022-11-03T00:00:00+01:00,682.0,10.52389,Fluide,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
3352796,4264,AV_Champs_Elysees,2022-11-03T01:00:00+01:00,733.0,9.29222,Fluide,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
